Airport Code(Deprt.),Tail Number,Departure Date
DFW,509,12/3/2017
DTW,509,12/4/2017
MCO,509,12/5/2017
PHL,509,12/6/2017
PHX,509,12/7/2017
SAN,509,12/8/2017
PHL,509,12/9/2017
PHL,509,12/10/2017
LAX,509,12/11/2017
FLL,509,12/12/2017
MSY,509,12/13/2017
LAS,509,12/14/2017
TPA,509,12/15/2017
PIT,509,12/16/2017
LAX,509,12/17/2017
PHL,509,12/18/2017
BOS,509,12/19/2017
ACY,509,12/20/2017
SAN,509,12/21/2017
LAX,509,12/22/2017
PHL,509,12/23/2017
BWI,509,12/24/2017
BOS,509,12/25/2017
BWI,509,12/26/2017
BWI,509,12/27/2017
EWR,509,12/28/2017
IAH,509,12/29/2017
LAS,509,12/30/2017
ORD,509,12/31/2017
DTW,510,12/1/2017
MCO,510,12/2/2017
FLL,510,12/3/2017
ORD,510,12/4/2017
BWI,510,12/5/2017
BOS,510,12/6/2017
BWI,510,12/7/2017
EWR,510,12/8/2017
MSY,510,12/9/2017
MCO,510,12/10/2017
FLL,510,12/11/2017
MSY,510,12/12/2017
PIT,510,12/13/2017
PHX,510,12/14/2017
BOS,510,12/15/2017
ACY,510,12/16/2017
SAN,510,12/17/2017
PHL,510,12/18/2017
BWI,510,12/19/2017
MCO,510,12/20/2017
MSY,510,12/21/2017
MCO,510,12/22/2017
IAG,510,12/23/2017
FLL,510,12/24/2017
MSY,510,12/25/2017
LAS,510,12/26/2017
ORD,510,12/27/2017
DFW,510,12/31/2017
FLL,512,12/1/2017
BQN,512,12/23/2017
LIM,512,12/24/2017
SAN,512,12/25/2017
FLL,512,12/26/2017
MSY,512,12/27/2017
IAG,512,12/28/2017
MCO,512,12/29/2017
BWI,512,12/30/2017
IAH,512,12/31/2017
BQN,514,12/19/2017
BQN,514,12/20/2017
BQN,514,12/21/2017
FLL,514,12/22/2017
MSY,514,12/23/2017
MCO,514,12/24/2017
FLL,514,12/25/2017
MCO,514,12/26/2017
FLL,514,12/27/2017
SAN,514,12/28/2017
FLL,514,12/29/2017
LAX,514,12/30/2017
PHL,514,12/31/2017
FLL,515,12/2/2017
LAS,515,12/3/2017
BWI,515,12/4/2017
IAH,515,12/5/2017
IAH,515,12/6/2017
LAS,515,12/7/2017
TPA,515,12/8/2017
PIT,515,12/9/2017
PHX,515,12/10/2017
BOS,515,12/11/2017
LAX,515,12/12/2017
LAX,515,12/13/2017
BWI,515,12/14/2017
BOS,515,12/15/2017
BWI,515,12/16/2017
BWI,515,12/17/2017
BWI,515,12/18/2017
EWR,515,12/19/2017
LAS,515,12/20/2017
ORD,515,12/21/2017
BWI,515,12/22/2017
IAH,515,12/23/2017
LAS,515,12/24/2017
BWI,515,12/25/2017
BOS,515,12/26/2017
BWI,515,12/27/2017
IAH,515,12/28/2017
LAS,515,12/29/2017
TPA,515,12/30/2017
LIM,515,12/31/2017
DFW,516,12/1/2017
DTW,516,12/2/2017
MCO,516,12/3/2017
PHL,516,12/4/2017
FLL,516,12/5/2017
ORD,516,12/6/2017
DFW,516,12/7/2017
DTW,516,12/10/2017
MCO,516,12/11/2017
ORD,516,12/12/2017
ORD,516,12/13/2017
DFW,516,12/14/2017
DTW,516,12/15/2017
MSY,516,12/16/2017
LIM,516,12/17/2017
SAN,516,12/18/2017
PHL,516,12/19/2017
FLL,516,12/20/2017
FLL,516,12/21/2017
PHL,516,12/22/2017
BWI,516,12/23/2017
BOS,516,12/24/2017
BWI,516,12/25/2017
FLL,516,12/26/2017
IAG,516,12/27/2017
MSY,516,12/28/2017
PIT,516,12/29/2017
ACY,516,12/30/2017
LAS,516,12/31/2017
PHL,517,12/1/2017
BWI,517,12/2/2017
CAK,517,12/3/2017
MCO,517,12/4/2017
ORD,517,12/5/2017
DFW,517,12/7/2017
DFW,517,12/8/2017
DTW,517,12/9/2017
MCO,517,12/10/2017
ORD,517,12/11/2017
DFW,517,12/12/2017
PHX,517,12/13/2017
FLL,517,12/14/2017
SAN,517,12/15/2017
FLL,517,12/16/2017
FLL,517,12/17/2017
PIT,517,12/18/2017
LAX,517,12/19/2017
