Airport Code(Deprt.),Tail Number,Departure Date
BOS,606,12/31/2017
DFW,607,12/1/2017
FLL,607,12/2/2017
LAX,607,12/3/2017
DFW,607,12/4/2017
BDL,607,12/5/2017
LAS,607,12/6/2017
ORD,607,12/7/2017
BOS,607,12/8/2017
ACY,607,12/9/2017
MCO,607,12/10/2017
SJO,607,12/11/2017
SEA,607,12/12/2017
DTW,607,12/13/2017
PIT,607,12/14/2017
ORD,607,12/15/2017
BOS,607,12/16/2017
ACY,607,12/17/2017
MCO,607,12/18/2017
MCO,607,12/20/2017
MCO,607,12/21/2017
PHX,607,12/22/2017
BOS,607,12/23/2017
PTY,607,12/24/2017
FLL,607,12/25/2017
FLL,607,12/26/2017
TPA,607,12/27/2017
FLL,607,12/28/2017
MCO,607,12/29/2017
FLL,607,12/30/2017
PTY,607,12/31/2017
ROW,608,12/8/2017
DFW,608,12/9/2017
CLE,608,12/10/2017
CLE,608,12/11/2017
RSW,608,12/12/2017
FLL,608,12/13/2017
LAS,608,12/14/2017
DFW,608,12/15/2017
DFW,608,12/16/2017
DTW,608,12/17/2017
OAK,608,12/18/2017
ACY,608,12/19/2017
ACY,608,12/20/2017
FLL,608,12/21/2017
BWI,608,12/22/2017
LAS,608,12/23/2017
PIT,608,12/24/2017
ORD,608,12/25/2017
BOS,608,12/26/2017
BWI,608,12/27/2017
DTW,608,12/28/2017
MSP,608,12/29/2017
TPA,608,12/30/2017
FLL,608,12/31/2017
LAX,609,12/1/2017
DFW,609,12/2/2017
IAH,609,12/3/2017
IAH,609,12/4/2017
IAH,609,12/5/2017
IAH,609,12/6/2017
IAH,609,12/7/2017
IAH,609,12/8/2017
IAH,609,12/9/2017
DFW,609,12/10/2017
CLE,609,12/11/2017
CLE,609,12/12/2017
LAX,609,12/13/2017
DFW,609,12/14/2017
EWR,609,12/15/2017
TPA,609,12/16/2017
ATL,609,12/17/2017
DTW,609,12/18/2017
DTW,609,12/19/2017
ATL,609,12/20/2017
BWI,609,12/21/2017
LAS,609,12/22/2017
DTW,609,12/23/2017
MSP,609,12/24/2017
MCO,609,12/25/2017
LAS,609,12/26/2017
DFW,609,12/27/2017
EWR,609,12/28/2017
MSP,609,12/29/2017
ATL,609,12/30/2017
MCO,609,12/31/2017
ATL,611,12/1/2017
MCO,611,12/2/2017
PHL,611,12/3/2017
DTW,611,12/4/2017
PTY,611,12/5/2017
SEA,611,12/6/2017
DTW,611,12/7/2017
ATL,611,12/8/2017
MCO,611,12/9/2017
PHL,611,12/10/2017
DTW,611,12/11/2017
OAK,611,12/12/2017
ACY,611,12/13/2017
FLL,611,12/14/2017
RSW,611,12/15/2017
MSP,611,12/16/2017
MSP,611,12/17/2017
BOS,611,12/18/2017
ACY,611,12/19/2017
FLL,611,12/20/2017
DFW,611,12/21/2017
CLE,611,12/22/2017
CLE,611,12/23/2017
LAX,611,12/24/2017
CLE,611,12/25/2017
LAX,611,12/26/2017
DFW,611,12/27/2017
MCI,611,12/28/2017
CLE,611,12/29/2017
CLE,611,12/30/2017
LAX,611,12/31/2017
FLL,612,12/1/2017
MSP,612,12/2/2017
ATL,612,12/3/2017
MCO,612,12/4/2017
FLL,612,12/5/2017
MCO,612,12/6/2017
LBE,612,12/7/2017
MCO,612,12/8/2017
PIT,612,12/9/2017
ORD,612,12/10/2017
BOS,612,12/11/2017
ACY,612,12/12/2017
MCO,612,12/13/2017
RSW,612,12/14/2017
DTW,612,12/15/2017
BWI,612,12/16/2017
LAS,612,12/17/2017
PIT,612,12/18/2017
ORD,612,12/19/2017
DTW,612,12/20/2017
PIT,612,12/21/2017
FLL,612,12/22/2017
MSP,612,12/23/2017
ATL,612,12/24/2017
MCO,612,12/25/2017
DTW,612,12/26/2017
ATL,612,12/27/2017
MCO,612,12/28/2017
DTW,612,12/29/2017
LAX,612,12/30/2017
DFW,612,12/31/2017
MCI,613,12/1/2017
CLE,613,12/2/2017
CLE,613,12/3/2017
LAX,613,12/4/2017
DFW,613,12/5/2017
FLL,613,12/6/2017
TPA,613,12/7/2017
DTW,613,12/8/2017
ACY,613,12/9/2017
IAG,613,12/10/2017
MCO,613,12/11/2017
IAH,613,12/12/2017
IAH,613,12/13/2017
SEA,613,12/14/2017
DFW,613,12/15/2017
DFW,613,12/16/2017
DFW,613,12/17/2017
BDL,613,12/18/2017
LAS,613,12/19/2017
ATL,613,12/20/2017
SEA,613,12/21/2017
DFW,613,12/22/2017
IAH,613,12/23/2017
DFW,613,12/24/2017
DFW,613,12/25/2017
DFW,613,12/26/2017
DFW,613,12/27/2017
IAH,613,12/28/2017
DFW,613,12/29/2017
MCI,613,12/30/2017
CLE,613,12/31/2017
IAH,614,12/1/2017
DFW,614,12/2/2017
MCI,614,12/3/2017
DTW,614,12/4/2017
OAK,614,12/5/2017
ACY,614,12/6/2017
FLL,614,12/7/2017
RSW,614,12/8/2017
MSP,614,12/9/2017
SEA,614,12/10/2017
DFW,614,12/11/2017
BDL,614,12/12/2017
DFW,614,12/13/2017
BDL,614,12/14/2017
DFW,614,12/15/2017
MCI,614,12/16/2017
CLE,614,12/17/2017
CLE,614,12/18/2017
LAX,614,12/19/2017
DFW,614,12/20/2017
BDL,614,12/21/2017
DFW,614,12/22/2017
BDL,614,12/23/2017
DFW,614,12/24/2017
IAH,614,12/25/2017
DFW,614,12/26/2017
DFW,614,12/28/2017
IAH,614,12/29/2017
DFW,614,12/30/2017
BDL,614,12/31/2017
MCO,615,12/1/2017
LAS,615,12/2/2017
MCO,615,12/3/2017
FLL,615,12/4/2017
FLL,615,12/5/2017
FLL,615,12/6/2017
MCO,615,12/7/2017
LAS,615,12/8/2017
ATL,615,12/9/2017
MCO,615,12/10/2017
BWI,615,12/11/2017
LAS,615,12/12/2017
DFW,615,12/14/2017
MCI,615,12/15/2017
CLE,615,12/16/2017
CLE,615,12/17/2017
DTW,615,12/18/2017
FLL,615,12/21/2017
PBG,615,12/22/2017
PTY,615,12/23/2017
LAS,615,12/24/2017
DFW,615,12/25/2017
DFW,615,12/26/2017
BDL,615,12/27/2017
DFW,615,12/28/2017
BDL,615,12/29/2017
DFW,615,12/30/2017
DFW,615,12/31/2017
IAH,616,12/1/2017
IAH,616,12/2/2017
IAH,616,12/3/2017
DFW,616,12/4/2017
IAH,616,12/7/2017
DFW,616,12/8/2017
DFW,616,12/9/2017
EWR,616,12/10/2017
MSP,616,12/11/2017
ATL,616,12/12/2017
ATL,616,12/13/2017
PTY,616,12/14/2017
MCO,616,12/15/2017
MSP,616,12/16/2017
ATL,616,12/17/2017
MCO,616,12/18/2017
SEA,616,12/19/2017
DTW,616,12/20/2017
MCO,616,12/21/2017
PTY,616,12/22/2017
RSW,616,12/23/2017
DTW,616,12/24/2017
OAK,616,12/25/2017
ACY,616,12/26/2017
FLL,616,12/27/2017
TPA,616,12/28/2017
PBG,616,12/29/2017
SEA,616,12/30/2017
DFW,616,12/31/2017
LBE,617,12/1/2017
MCO,617,12/2/2017
PTY,617,12/3/2017
LBE,617,12/4/2017
MCO,617,12/5/2017
FLL,617,12/6/2017
PTY,617,12/7/2017
SEA,617,12/8/2017
DFW,617,12/9/2017
DFW,617,12/10/2017
IAH,617,12/11/2017
DFW,617,12/12/2017
CLE,617,12/13/2017
BOS,617,12/14/2017
ACY,617,12/15/2017
FLL,617,12/16/2017
PBG,617,12/17/2017
TPA,617,12/18/2017
DTW,617,12/19/2017
MCO,617,12/21/2017
IAH,617,12/22/2017
LAS,617,12/23/2017
LAS,617,12/24/2017
FLL,617,12/25/2017
PHX,617,12/26/2017
BOS,617,12/27/2017
FLL,617,12/29/2017
LBE,617,12/30/2017
MCO,617,12/31/2017
LAX,618,12/1/2017
DFW,618,12/2/2017
BDL,618,12/3/2017
DFW,618,12/4/2017
MCI,618,12/5/2017
ATL,618,12/6/2017
BWI,618,12/7/2017
BWI,618,12/8/2017
LAS,618,12/9/2017
DFW,618,12/10/2017
IAH,618,12/11/2017
IAH,618,12/14/2017
MCO,618,12/15/2017
FLL,618,12/16/2017
BWI,618,12/17/2017
LAS,618,12/18/2017
DTW,618,12/19/2017
BDL,618,12/20/2017
DFW,618,12/21/2017
DFW,618,12/22/2017
MCI,618,12/23/2017
LAX,618,12/25/2017
LAS,618,12/26/2017
LAS,618,12/28/2017
DFW,618,12/29/2017
DFW,618,12/30/2017
DFW,618,12/31/2017
BQN,619,12/12/2017
FLL,619,12/13/2017
TPA,619,12/14/2017
MSP,619,12/15/2017
FLL,619,12/16/2017
LAS,619,12/17/2017
PHX,619,12/18/2017
PHX,619,12/19/2017
TPA,619,12/20/2017
DTW,619,12/21/2017
DTW,619,12/22/2017
OAK,619,12/23/2017
ACY,619,12/24/2017
MCO,619,12/25/2017
PTY,619,12/26/2017
RSW,619,12/27/2017
DTW,619,12/28/2017
MCO,619,12/29/2017
PHL,619,12/30/2017
FLL,619,12/31/2017
DTW,620,12/1/2017
FLL,620,12/2/2017
FLL,620,12/3/2017
SAN,620,12/4/2017
FLL,620,12/5/2017
DFW,620,12/7/2017
IAH,620,12/8/2017
LAS,620,12/9/2017
FLL,620,12/10/2017
BQN,620,12/23/2017
FLL,620,12/24/2017
FLL,620,12/25/2017
LBE,620,12/26/2017
MCO,620,12/27/2017
FLL,620,12/28/2017
TPA,620,12/29/2017
FLL,620,12/30/2017
LBE,620,12/31/2017
DTW,621,12/1/2017
DTW,621,12/2/2017
DTW,621,12/4/2017
LAS,621,12/5/2017
DFW,621,12/7/2017
MCI,621,12/8/2017
EWR,621,12/9/2017
TPA,621,12/10/2017
MSP,621,12/11/2017
LAS,621,12/12/2017
ATL,621,12/13/2017
BWI,621,12/14/2017
PIT,621,12/15/2017
ORD,621,12/16/2017
BOS,621,12/17/2017
ACY,621,12/18/2017
FLL,621,12/19/2017
FLL,621,12/20/2017
MCO,621,12/21/2017
DTW,621,12/22/2017
MCO,621,12/23/2017
PHL,621,12/24/2017
DTW,621,12/25/2017
OAK,621,12/26/2017
ACY,621,12/27/2017
MCO,621,12/28/2017
PTY,621,12/29/2017
MCO,621,12/30/2017
LAS,621,12/31/2017
CLE,622,12/1/2017
CLE,622,12/2/2017
RSW,622,12/3/2017
ATL,622,12/4/2017
ATL,622,12/5/2017
ORD,622,12/6/2017
PIT,622,12/7/2017
ORD,622,12/8/2017
BOS,622,12/9/2017
ACY,622,12/10/2017
MCO,622,12/11/2017
MCO,622,12/12/2017
FLL,622,12/13/2017
IAH,622,12/14/2017
DFW,622,12/15/2017
EWR,622,12/16/2017
TPA,622,12/17/2017
DTW,622,12/18/2017
ATL,622,12/19/2017
FLL,622,12/20/2017
TPA,622,12/21/2017
ORD,622,12/22/2017
BOS,622,12/23/2017
BWI,622,12/24/2017
ACY,622,12/25/2017
MCO,622,12/26/2017
FLL,622,12/27/2017
BWI,622,12/28/2017
LAS,622,12/29/2017
PIT,622,12/30/2017
ORD,622,12/31/2017
BOS,623,12/1/2017
ACY,623,12/2/2017
MCO,623,12/3/2017
SJO,623,12/4/2017
SEA,623,12/5/2017
DTW,623,12/6/2017
DTW,623,12/7/2017
OAK,623,12/8/2017
LAS,623,12/10/2017
PIT,623,12/11/2017
ORD,623,12/12/2017
ORD,623,12/13/2017
ORD,623,12/14/2017
BOS,623,12/15/2017
ACY,623,12/16/2017
MCO,623,12/17/2017
PTY,623,12/18/2017
RSW,623,12/19/2017
LAS,623,12/20/2017
ATL,623,12/21/2017
MCO,623,12/22/2017
PHX,623,12/23/2017
PHX,623,12/24/2017
BOS,623,12/25/2017
BWI,623,12/26/2017
ACY,623,12/27/2017
PBG,623,12/28/2017
FLL,623,12/29/2017
LAS,623,12/30/2017
DFW,623,12/31/2017
MCO,624,12/1/2017
PBG,624,12/2/2017
TPA,624,12/3/2017
DTW,624,12/4/2017
BWI,624,12/5/2017
LAS,624,12/6/2017
DFW,624,12/7/2017
EWR,624,12/8/2017
TPA,624,12/9/2017
DTW,624,12/10/2017
DTW,624,12/12/2017
LAS,624,12/13/2017
DTW,624,12/14/2017
PTY,624,12/15/2017
DTW,624,12/16/2017
OAK,624,12/17/2017
ACY,624,12/18/2017
MCO,624,12/19/2017
PHL,624,12/20/2017
BWI,624,12/21/2017
ACY,624,12/22/2017
MCO,624,12/23/2017
DTW,624,12/24/2017
PIT,624,12/25/2017
ORD,624,12/26/2017
BOS,624,12/27/2017
BWI,624,12/28/2017
ACY,624,12/29/2017
FLL,624,12/30/2017
MCO,624,12/31/2017
RSW,625,12/1/2017
DTW,625,12/3/2017
DTW,625,12/5/2017
DTW,625,12/6/2017
EWR,625,12/7/2017
MSP,625,12/8/2017
DFW,625,12/9/2017
IAH,625,12/10/2017
DFW,625,12/11/2017
MCI,625,12/12/2017
EWR,625,12/13/2017
PHL,625,12/14/2017
FLL,625,12/15/2017
PBG,625,12/16/2017
MSY,625,12/17/2017
MCO,625,12/18/2017
PHL,625,12/19/2017
FLL,625,12/20/2017
PTY,625,12/21/2017
RSW,625,12/22/2017
DTW,625,12/23/2017
OAK,625,12/24/2017
BOS,625,12/25/2017
MYR,625,12/26/2017
DFW,625,12/27/2017
LAS,625,12/28/2017
DFW,625,12/29/2017
BDL,625,12/30/2017
DFW,625,12/31/2017
MCO,626,12/1/2017
PHL,626,12/2/2017
PIT,626,12/3/2017
ORD,626,12/4/2017
BOS,626,12/5/2017
MSP,626,12/6/2017
MCO,626,12/7/2017
LAS,626,12/8/2017
DFW,626,12/9/2017
LAS,626,12/10/2017
LAS,626,12/11/2017
DFW,626,12/12/2017
DFW,626,12/13/2017
DFW,626,12/14/2017
DTW,626,12/15/2017
PTY,626,12/16/2017
LAX,626,12/17/2017
DFW,626,12/18/2017
BDL,626,12/19/2017
LAS,626,12/20/2017
ORD,626,12/21/2017
BOS,626,12/22/2017
BWI,626,12/23/2017
ACY,626,12/24/2017
FLL,626,12/25/2017
SEA,626,12/26/2017
DFW,626,12/27/2017
BDL,626,12/28/2017
DFW,626,12/29/2017
LAS,626,12/30/2017
PIT,626,12/31/2017
ORD,627,12/1/2017
BOS,627,12/2/2017
ACY,627,12/3/2017
FLL,627,12/4/2017
RSW,627,12/5/2017
FLL,627,12/6/2017
LAS,627,12/7/2017
DTW,627,12/8/2017
OAK,627,12/9/2017
ACY,627,12/10/2017
FLL,627,12/16/2017
DTW,627,12/28/2017
CLE,628,12/1/2017
LAX,628,12/2/2017
DFW,628,12/3/2017
MCI,628,12/4/2017
CLE,628,12/5/2017
RSW,628,12/6/2017
ATL,628,12/7/2017
DTW,628,12/8/2017
DTW,628,12/9/2017
DTW,628,12/10/2017
PBG,628,12/11/2017
MSP,628,12/12/2017
BOS,628,12/13/2017
MSP,628,12/14/2017
FLL,628,12/15/2017
RSW,628,12/16/2017
MSP,628,12/17/2017
BWI,628,12/18/2017
PIT,628,12/19/2017
BOS,628,12/20/2017
FLL,628,12/21/2017
TPA,628,12/22/2017
PBG,628,12/23/2017
TPA,628,12/24/2017
FLL,628,12/25/2017
RSW,628,12/26/2017
DTW,628,12/27/2017
DTW,628,12/28/2017
DTW,628,12/31/2017
PHL,629,12/1/2017
DTW,629,12/2/2017
PBG,629,12/3/2017
SEA,629,12/4/2017
DFW,629,12/5/2017
DFW,629,12/6/2017
DFW,629,12/7/2017
LAS,629,12/8/2017
DFW,629,12/10/2017
MCO,629,12/11/2017
FLL,629,12/12/2017
RSW,629,12/13/2017
ATL,629,12/14/2017
ATL,629,12/15/2017
ATL,629,12/16/2017
DTW,629,12/17/2017
FLL,629,12/18/2017
LBE,629,12/19/2017
MCO,629,12/20/2017
MSP,629,12/21/2017
ATL,629,12/22/2017
MCO,629,12/23/2017
MCO,629,12/24/2017
PHX,629,12/25/2017
FLL,629,12/26/2017
PBG,629,12/27/2017
DTW,629,12/30/2017
DTW,629,12/31/2017
SJO,630,12/1/2017
MCO,630,12/2/2017
LAS,630,12/3/2017
DFW,630,12/4/2017
DTW,630,12/5/2017
ATL,630,12/6/2017
FLL,630,12/7/2017
PBG,630,12/8/2017
IAG,630,12/9/2017
FLL,630,12/10/2017
DTW,630,12/11/2017
DTW,630,12/12/2017
OAK,630,12/13/2017
OAK,630,12/14/2017
ACY,630,12/15/2017
MCO,630,12/16/2017
SEA,630,12/17/2017
DFW,630,12/18/2017
IAH,630,12/21/2017
LAS,630,12/22/2017
PIT,630,12/23/2017
CLE,630,12/24/2017
LAX,630,12/25/2017
DFW,630,12/26/2017
DTW,630,12/27/2017
MCO,630,12/28/2017
FLL,630,12/29/2017
FLL,630,12/30/2017
SEA,630,12/31/2017
LAS,631,12/1/2017
PIT,631,12/2/2017
ORD,631,12/3/2017
FLL,631,12/4/2017
LAS,631,12/5/2017
PIT,631,12/6/2017
BOS,631,12/7/2017
ACY,631,12/8/2017
STI,631,12/9/2017
RSW,631,12/10/2017
ATL,631,12/11/2017
ATL,631,12/12/2017
BWI,631,12/13/2017
FLL,631,12/14/2017
BWI,631,12/15/2017
PIT,631,12/16/2017
ORD,631,12/17/2017
PBG,631,12/18/2017
MSP,631,12/19/2017
ORD,631,12/20/2017
DFW,631,12/21/2017
PHL,631,12/22/2017
FLL,631,12/23/2017
LBE,631,12/24/2017
MCO,631,12/25/2017
FLL,631,12/26/2017
BWI,631,12/27/2017
PIT,631,12/28/2017
ORD,631,12/29/2017
PBG,631,12/30/2017
BOS,631,12/31/2017
MCO,632,12/1/2017
BWI,632,12/2/2017
LAS,632,12/3/2017
PIT,632,12/4/2017
ORD,632,12/5/2017
EWR,632,12/6/2017
PHL,632,12/7/2017
FLL,632,12/9/2017
DFW,632,12/10/2017
DFW,632,12/11/2017
EWR,632,12/12/2017
LAS,632,12/13/2017
ATL,632,12/14/2017
MCO,632,12/15/2017
SEA,632,12/16/2017
DFW,632,12/17/2017
MCI,632,12/18/2017
CLE,632,12/19/2017
CLE,632,12/20/2017
CLE,632,12/21/2017
CLE,632,12/22/2017
CLE,632,12/23/2017
ORD,632,12/24/2017
MSP,632,12/25/2017
MCO,632,12/26/2017
LAS,632,12/27/2017
DFW,632,12/28/2017
DFW,632,12/29/2017
EWR,632,12/30/2017
TPA,632,12/31/2017
TPA,633,12/1/2017
RSW,633,12/2/2017
MSP,633,12/3/2017
MCO,633,12/4/2017
PHL,633,12/5/2017
TPA,633,12/6/2017
FLL,633,12/7/2017
SJO,633,12/8/2017
SEA,633,12/9/2017
DFW,633,12/10/2017
BDL,633,12/11/2017
DFW,633,12/12/2017
LAS,633,12/13/2017
EWR,633,12/14/2017
TPA,633,12/15/2017
DTW,633,12/16/2017
DTW,633,12/17/2017
ATL,633,12/18/2017
MCO,633,12/19/2017
BWI,633,12/20/2017
FLL,633,12/21/2017
PIT,633,12/22/2017
ORD,633,12/23/2017
BOS,633,12/24/2017
BWI,633,12/25/2017
ACY,633,12/26/2017
MCO,633,12/27/2017
DFW,633,12/28/2017
PHX,633,12/29/2017
BOS,633,12/30/2017
BWI,633,12/31/2017
FLL,634,12/9/2017
FLL,634,12/10/2017
TPA,634,12/11/2017
DTW,634,12/13/2017
MCI,634,12/14/2017
CLE,634,12/15/2017
CLE,634,12/16/2017
RSW,634,12/17/2017
MSP,634,12/18/2017
MCO,634,12/19/2017
PHX,634,12/20/2017
LAS,634,12/21/2017
LAS,634,12/22/2017
DFW,634,12/23/2017
BDL,634,12/24/2017
DFW,634,12/25/2017
MCI,634,12/26/2017
CLE,634,12/27/2017
CLE,634,12/28/2017
LAX,634,12/29/2017
DFW,634,12/30/2017
IAH,634,12/31/2017
DTW,635,12/1/2017
OAK,635,12/2/2017
ACY,635,12/3/2017
MCO,635,12/4/2017
FLL,635,12/5/2017
PHL,635,12/6/2017
DTW,635,12/7/2017
IAG,635,12/8/2017
LBE,635,12/9/2017
MCO,635,12/10/2017
PHL,635,12/11/2017
FLL,635,12/12/2017
MSP,635,12/13/2017
MCO,635,12/14/2017
SEA,635,12/15/2017
DFW,635,12/16/2017
MCI,635,12/17/2017
CLE,635,12/18/2017
CLE,635,12/19/2017
LAX,635,12/20/2017
DFW,635,12/21/2017
MCI,635,12/22/2017
LAX,635,12/23/2017
DFW,635,12/24/2017
BDL,635,12/25/2017
DFW,635,12/26/2017
MCI,635,12/27/2017
CLE,635,12/28/2017
CLE,635,12/29/2017
OAK,635,12/30/2017
ACY,635,12/31/2017
ATL,636,12/1/2017
MSP,636,12/2/2017
LBE,636,12/3/2017
MCO,636,12/4/2017
TPA,636,12/5/2017
CLE,636,12/6/2017
CLE,636,12/7/2017
LAX,636,12/8/2017
DFW,636,12/9/2017
DTW,636,12/10/2017
RSW,636,12/11/2017
MSP,636,12/12/2017
MCO,636,12/13/2017
LAS,636,12/14/2017
DFW,636,12/15/2017
BDL,636,12/16/2017
DFW,636,12/17/2017
IAH,636,12/18/2017
DFW,636,12/20/2017
LBE,636,12/21/2017
MCO,636,12/22/2017
DTW,636,12/23/2017
DTW,636,12/24/2017
MCO,636,12/25/2017
PHL,636,12/26/2017
FLL,636,12/27/2017
SEA,636,12/28/2017
DFW,636,12/29/2017
DTW,636,12/30/2017
DTW,636,12/31/2017
LAS,637,12/1/2017
DFW,637,12/2/2017
DTW,637,12/3/2017
BOS,637,12/4/2017
ACY,637,12/5/2017
ACY,637,12/6/2017
ACY,637,12/7/2017
MCO,637,12/8/2017
PHL,637,12/9/2017
PIT,637,12/10/2017
ORD,637,12/11/2017
BOS,637,12/12/2017
MSP,637,12/13/2017
MCO,637,12/14/2017
LAS,637,12/15/2017
BWI,637,12/16/2017
IAH,637,12/17/2017
DFW,637,12/19/2017
FLL,637,12/20/2017
FLL,637,12/21/2017
SEA,637,12/22/2017
DFW,637,12/23/2017
IAH,637,12/24/2017
DFW,637,12/25/2017
DTW,637,12/26/2017
MCO,637,12/27/2017
PTY,637,12/28/2017
LBE,637,12/29/2017
MCO,637,12/30/2017
FLL,637,12/31/2017
IAG,638,12/1/2017
SEA,638,12/2/2017
DFW,638,12/3/2017
LAS,638,12/4/2017
LAS,638,12/6/2017
ATL,638,12/7/2017
MCO,638,12/8/2017
BWI,638,12/9/2017
BOS,638,12/10/2017
ACY,638,12/11/2017
FLL,638,12/12/2017
SEA,638,12/13/2017
DTW,638,12/14/2017
DTW,638,12/15/2017
DTW,638,12/16/2017
DTW,638,12/17/2017
DTW,638,12/18/2017
DTW,638,12/19/2017
OAK,638,12/20/2017
ACY,638,12/21/2017
FLL,638,12/22/2017
FLL,638,12/23/2017
SEA,638,12/24/2017
DFW,638,12/25/2017
DTW,638,12/26/2017
MSP,638,12/27/2017
LBE,638,12/28/2017
MCO,638,12/29/2017
FLL,638,12/30/2017
PBG,638,12/31/2017
SEA,639,12/1/2017
DFW,639,12/2/2017
CLE,639,12/3/2017
CLE,639,12/4/2017
LAX,639,12/5/2017
DFW,639,12/6/2017
LAS,639,12/7/2017
PIT,639,12/8/2017
ORD,639,12/9/2017
ATL,639,12/10/2017
DTW,639,12/11/2017
DTW,639,12/12/2017
DTW,639,12/13/2017
MCO,639,12/14/2017
PBG,639,12/15/2017
PHX,639,12/16/2017
PHX,639,12/17/2017
LAS,639,12/18/2017
DFW,639,12/19/2017
DTW,639,12/20/2017
DTW,639,12/21/2017
MCO,639,12/22/2017
SEA,639,12/23/2017
DFW,639,12/24/2017
EWR,639,12/25/2017
TPA,639,12/26/2017
PTY,639,12/27/2017
BOS,639,12/28/2017
LAS,639,12/29/2017
DFW,639,12/30/2017
LAS,639,12/31/2017
DFW,640,12/1/2017
IAH,640,12/2/2017
DFW,640,12/3/2017
CLE,640,12/4/2017
CLE,640,12/6/2017
LAX,640,12/7/2017
DFW,640,12/8/2017
DFW,640,12/9/2017
MCI,640,12/10/2017
DTW,640,12/11/2017
FLL,640,12/12/2017
PHL,640,12/13/2017
FLL,640,12/14/2017
LBE,640,12/15/2017
DFW,640,12/16/2017
EWR,640,12/17/2017
LBE,640,12/18/2017
MCO,640,12/19/2017
DTW,640,12/20/2017
DTW,640,12/21/2017
OAK,640,12/22/2017
ACY,640,12/23/2017
MCO,640,12/24/2017
FLL,640,12/25/2017
MSP,640,12/26/2017
PIT,640,12/27/2017
ORD,640,12/28/2017
BOS,640,12/29/2017
BWI,640,12/30/2017
ACY,640,12/31/2017
DFW,641,12/1/2017
BDL,641,12/2/2017
LAS,641,12/3/2017
IAH,641,12/4/2017
DFW,641,12/5/2017
LAX,641,12/6/2017
DFW,641,12/7/2017
BDL,641,12/8/2017
DFW,641,12/9/2017
BDL,641,12/10/2017
DFW,641,12/11/2017
PTY,641,12/12/2017
FLL,641,12/13/2017
FLL,641,12/14/2017
MSP,641,12/15/2017
ATL,641,12/16/2017
MCO,641,12/17/2017
SEA,641,12/18/2017
DFW,641,12/19/2017
DFW,641,12/20/2017
LAX,641,12/21/2017
DFW,641,12/22/2017
DFW,641,12/23/2017
MCI,641,12/24/2017
CLE,641,12/25/2017
CLE,641,12/26/2017
LAX,641,12/27/2017
DFW,641,12/28/2017
MCI,641,12/29/2017
CLE,641,12/30/2017
CLE,641,12/31/2017
DFW,642,12/1/2017
DTW,642,12/2/2017
OAK,642,12/3/2017
ACY,642,12/4/2017
TPA,642,12/5/2017
LAS,642,12/6/2017
ACY,642,12/7/2017
FLL,642,12/8/2017
MCO,642,12/9/2017
MCO,642,12/10/2017
IAG,642,12/11/2017
FLL,642,12/12/2017
FLL,642,12/13/2017
ACY,642,12/14/2017
FLL,642,12/15/2017
LBE,642,12/16/2017
MCO,642,12/17/2017
PHL,642,12/18/2017
FLL,642,12/19/2017
MSP,642,12/20/2017
OAK,642,12/21/2017
ACY,642,12/22/2017
FLL,642,12/23/2017
BWI,642,12/24/2017
LAS,642,12/25/2017
EWR,642,12/26/2017
MSP,642,12/27/2017
ATL,642,12/28/2017
MCO,642,12/29/2017
PTY,642,12/30/2017
BWI,642,12/31/2017
MSP,643,12/1/2017
LBE,643,12/2/2017
DFW,643,12/3/2017
BDL,643,12/4/2017
DFW,643,12/5/2017
DFW,643,12/6/2017
CLE,643,12/7/2017
CLE,643,12/8/2017
RSW,643,12/9/2017
MSP,643,12/10/2017
ATL,643,12/11/2017
MCO,643,12/12/2017
LBE,643,12/13/2017
MSP,643,12/14/2017
ATL,643,12/15/2017
MCO,643,12/16/2017
FLL,643,12/17/2017
MSP,643,12/18/2017
ATL,643,12/19/2017
SEA,643,12/20/2017
DTW,643,12/21/2017
MSP,643,12/22/2017
MCO,643,12/23/2017
FLL,643,12/24/2017
TPA,643,12/25/2017
PBG,643,12/26/2017
SEA,643,12/27/2017
DFW,643,12/28/2017
EWR,643,12/29/2017
MSP,643,12/30/2017
ATL,643,12/31/2017
EWR,644,12/1/2017
TPA,644,12/2/2017
ATL,644,12/3/2017
MSP,644,12/4/2017
MCO,644,12/5/2017
LBE,644,12/6/2017
FLL,644,12/7/2017
MCO,644,12/8/2017
MSP,644,12/9/2017
MCO,644,12/10/2017
DFW,644,12/11/2017
LAS,644,12/12/2017
DTW,644,12/13/2017
DTW,644,12/14/2017
OAK,644,12/15/2017
ACY,644,12/16/2017
FLL,644,12/17/2017
RSW,644,12/18/2017
MSP,644,12/19/2017
RSW,644,12/20/2017
MSP,644,12/21/2017
MCO,644,12/22/2017
FLL,644,12/23/2017
BOS,644,12/24/2017
LAS,644,12/25/2017
LAS,644,12/26/2017
IAH,644,12/27/2017
DFW,644,12/28/2017
LAS,644,12/29/2017
DFW,644,12/30/2017
MCI,644,12/31/2017
DFW,645,12/1/2017
EWR,645,12/2/2017
MSP,645,12/3/2017
ATL,645,12/4/2017
MCO,645,12/5/2017
MSP,645,12/6/2017
MCO,645,12/7/2017
PHL,645,12/8/2017
DTW,645,12/9/2017
OAK,645,12/10/2017
ACY,645,12/11/2017
MCO,645,12/12/2017
LAS,645,12/13/2017
DFW,645,12/14/2017
IAH,645,12/15/2017
DFW,645,12/16/2017
PHL,645,12/17/2017
